Year,Month,Ozone 8hr Max,Daily AQI
1996,3,0.043500000000000004,40.275862068965516
1996,4,0.04839622641509434,47.22641509433962
1996,5,0.050130434782608695,52.05434782608695
1996,6,0.06532584269662921,89.0561797752809
1996,7,0.07283870967741936,109.3763440860215
1996,8,0.07396428571428572,112.0952380952381
1996,9,0.06813483146067416,96.10112359550561
1996,10,0.053057471264367814,61.10344827586207
1996,11,0.03689285714285714,34.07142857142857
1996,12,0.03527586206896552,32.55172413793103
1997,1,0.037724137931034483,34.89655172413793
1997,2,0.04103703703703704,38.03703703703704
1997,3,0.04582142857142857,43.0
1997,4,0.04983333333333333,49.2
1997,5,0.05287096774193548,55.70967741935484
1997,6,0.05713559322033898,66.35593220338983
1997,7,0.06932,98.52
1997,8,0.06378688524590163,83.90163934426229
1997,9,0.05769642857142857,67.94642857142857
1997,10,0.05558333333333333,62.666666666666664
1997,11,0.04226666666666667,39.63333333333333
1997,12,0.04262068965517241,39.6551724137931
1998,1,0.03662962962962963,33.888888888888886
1998,2,0.03717857142857143,34.5
1998,3,0.03855555555555555,35.74074074074074
1998,4,0.049130434782608694,50.65217391304348
1998,5,0.04825423728813559,47.271186440677965
1998,6,0.05458333333333333,63.53333333333333
1998,7,0.07209677419354839,106.38709677419355
1998,8,0.07610344827586206,118.17241379310344
1998,9,0.06310169491525423,82.45762711864407
1998,10,0.05621666666666667,62.45
1998,11,0.04486206896551724,41.689655172413794
1998,12,0.04376923076923077,40.61538461538461
1999,1,0.044032258064516126,40.806451612903224
1999,2,0.04896428571428572,46.357142857142854
1999,3,0.05210714285714286,51.142857142857146
1999,4,0.05466666666666666,56.7
1999,5,0.05820967741935484,66.29032258064517
1999,6,0.061586206896551726,76.94827586206897
1999,7,0.0689016393442623,96.67213114754098
1999,8,0.06193548387096774,79.40322580645162
1999,9,0.07400000000000001,112.2
1999,10,0.07045833333333333,103.72916666666667
1999,11,0.0484,51.92
1999,12,0.03875,35.708333333333336
2000,1,0.0372258064516129,34.41935483870968
2000,2,0.04544444444444445,42.074074074074076
2000,3,0.04929032258064516,47.903225806451616
2000,4,0.05206666666666667,51.8
2000,5,0.05434426229508196,58.16393442622951
2000,6,0.06493220338983051,87.0677966101695
2000,7,0.06648387096774193,88.83870967741936
2000,8,0.07135483870967743,103.5
2000,9,0.062396551724137925,83.84482758620689
2000,10,0.05341666666666667,64.83333333333333
2000,11,0.038033333333333336,35.13333333333333
2000,12,0.037142857142857144,34.285714285714285
2001,1,0.041,38.0
2001,2,0.041035714285714286,38.107142857142854
2001,3,0.044172413793103445,40.93103448275862
2001,4,0.049652173913043475,47.69565217391305
2001,5,0.05976315789473684,71.28947368421052
